band,min_score,max_score,n,n_bad,n_good,bad_rate,cum_bad_pct,cum_good_pct,ks
1,0.11109046638011932,0.6399943232536316,14316,165,14151,0.011525565800502935,0.8918918918918919,0.09897603760124218,79.29158542906497
2,0.09554509818553925,0.11109008640050888,14316,6,14310,0.00041911148365465214,0.9243243243243243,0.1990641655126107,72.52601588117136
3,0.09046081453561783,0.09554408490657806,14316,6,14310,0.00041911148365465214,0.9567567567567568,0.2991522934239792,65.76044633327776
4,0.08776652067899704,0.09046079963445663,14316,2,14314,0.00013970382788488405,0.9675675675675676,0.39926839845006784,56.82991691174997
5,0.08601284772157669,0.08776648342609406,14316,3,14313,0.00020955574182732607,0.9837837837837838,0.4993775091974765,48.440627458630736
6,0.08475498855113983,0.08601275831460953,14315,1,14314,6.985679357317499e-05,0.9891891891891892,0.5994936142235652,38.9695574965624
7,0.08369806408882141,0.08475498855113983,14316,0,14316,0.0,0.9891891891891892,0.6996237078070139,28.95654813821753
8,0.0825595036149025,0.08369799703359604,14316,1,14315,6.985191394244202e-05,0.9945945945945946,0.7997468071117826,19.484778748281208
9,0.0814337208867073,0.08255935460329056,14316,1,14315,6.985191394244202e-05,1.0,0.8998699064165513,10.01300935834487
10,0.07879593968391418,0.08143368363380432,14316,0,14316,0.0,1.0,1.0,0.0
