band,min_score,max_score,n,n_bad,n_good,bad_rate,cum_bad_pct,cum_good_pct,ks
1,0.8494949466345256,1.0,14316,184,14132,0.012852752165409332,0.9945945945945946,0.09884314630632143,89.57514482882732
2,0.29690663215533175,0.8494851672721259,14316,1,14315,6.985191394244202e-05,1.0,0.19896624561109014,80.10337543889099
3,0.06702415985047208,0.2969027880358473,14316,0,14316,0.0,1.0,0.2990963391945389,70.0903660805461
4,0.0209884400408623,0.06700729910684769,14316,0,14316,0.0,1.0,0.3992264327779876,60.077356722201245
5,0.006759916839997515,0.02098833066249549,14316,0,14316,0.0,1.0,0.49935652636143635,50.06434736385636
6,0.0017813372224149433,0.006759589943048547,14315,0,14315,0.0,1.0,0.599479625666205,40.052037433379496
7,0.0004352879937110625,0.001781297885986397,14316,0,14316,0.0,1.0,0.6996097192496538,30.039028075034622
8,0.0001646660266526553,0.00043528442768666286,14316,0,14316,0.0,1.0,0.7997398128331025,20.02601871668975
9,6.922716997545926e-05,0.00016465252561651035,14316,0,14316,0.0,1.0,0.8998699064165513,10.01300935834487
10,0.0,6.922673466038995e-05,14316,0,14316,0.0,1.0,1.0,0.0
