band,min_score,max_score,n,n_bad,n_good,bad_rate,cum_bad_pct,cum_good_pct,ks
1,0.0011358457896245013,0.9999993567909827,14316,185,14131,0.012922604079351774,1.0,0.09883615202764139,90.11638479723587
2,0.0,0.0011358457896245013,14316,0,14316,0.0,1.0,0.19896624561109014,80.10337543889099
3,0.0,0.0,14316,0,14316,0.0,1.0,0.2990963391945389,70.0903660805461
4,0.0,0.0,14316,0,14316,0.0,1.0,0.3992264327779876,60.077356722201245
5,0.0,0.0,14316,0,14316,0.0,1.0,0.49935652636143635,50.06434736385636
6,0.0,0.0,14315,0,14315,0.0,1.0,0.599479625666205,40.052037433379496
7,0.0,0.0,14316,0,14316,0.0,1.0,0.6996097192496538,30.039028075034622
8,0.0,0.0,14316,0,14316,0.0,1.0,0.7997398128331025,20.02601871668975
9,0.0,0.0,14316,0,14316,0.0,1.0,0.8998699064165513,10.01300935834487
10,0.0,0.0,14316,0,14316,0.0,1.0,1.0,0.0
