band,min_score,max_score,n,n_bad,n_good,bad_rate,cum_bad_pct,cum_good_pct,ks
1,3.4807635529432446e-06,1.0,14316,185,14131,0.012922604079351774,1.0,0.09883615202764139,90.11638479723587
2,1.332094029748987e-06,3.480607347228215e-06,14316,0,14316,0.0,1.0,0.19896624561109014,80.10337543889099
3,6.892664146107563e-07,1.332025362899003e-06,14316,0,14316,0.0,1.0,0.2990963391945389,70.0903660805461
4,4.438172709342325e-07,6.892288979543082e-07,14316,0,14316,0.0,1.0,0.3992264327779876,60.077356722201245
5,3.063112217205344e-07,4.4379103769642825e-07,14316,0,14316,0.0,1.0,0.49935652636143635,50.06434736385636
6,2.0857221727510478e-07,3.062980624690681e-07,14315,0,14315,0.0,1.0,0.599479625666205,40.052037433379496
7,1.3980579183225927e-07,2.0856901983279386e-07,14316,0,14316,0.0,1.0,0.6996097192496538,30.039028075034622
8,8.906442161560335e-08,1.397958016013945e-07,14316,0,14316,0.0,1.0,0.7997398128331025,20.02601871668975
9,4.6038692858019203e-08,8.9061195751583e-08,14316,0,14316,0.0,1.0,0.8998699064165513,10.01300935834487
10,1.0994140042797085e-09,4.603808179126645e-08,14316,0,14316,0.0,1.0,1.0,0.0
