band,min_score,max_score,n,n_bad,n_good,bad_rate,cum_bad_pct,cum_good_pct,ks
1,2.423507066851016e-05,0.9999996423721313,14316,185,14131,0.012922604079351774,1.0,0.09883615202764139,90.11638479723587
2,8.560335118090734e-06,2.4234861484728754e-05,14316,0,14316,0.0,1.0,0.19896624561109014,80.10337543889099
3,4.426246050570626e-06,8.55972302815644e-06,14316,0,14316,0.0,1.0,0.2990963391945389,70.0903660805461
4,2.6548191272013355e-06,4.426102350407746e-06,14316,0,14316,0.0,1.0,0.3992264327779876,60.077356722201245
5,1.6877391999514657e-06,2.6546672415861394e-06,14316,0,14316,0.0,1.0,0.49935652636143635,50.06434736385636
6,1.0949684110528324e-06,1.6874623725016136e-06,14315,0,14315,0.0,1.0,0.599479625666205,40.052037433379496
7,6.910085517120024e-07,1.0949684110528324e-06,14316,0,14316,0.0,1.0,0.6996097192496538,30.039028075034622
8,3.7413926179397095e-07,6.909993430781469e-07,14316,0,14316,0.0,1.0,0.7997398128331025,20.02601871668975
9,1.1804790744918137e-07,3.7409250808195793e-07,14316,0,14316,0.0,1.0,0.8998699064165513,10.01300935834487
10,8.096356918230185e-10,1.180365387654092e-07,14316,0,14316,0.0,1.0,1.0,0.0
